Algorithm: MVA							
D for Peticion at Servidor [s] 	Class 	Throughput (Inyector) 	Residence time (Inyector) 	Utilization (Inyector)	Throughput (Servidor) 	Residence time (Servidor) 	Utilization (Servidor)
0,0031	 Peticion	99,26685489	0,6	59,56011294	99,26685489	0,004431359	0,30772725
0,005234483	 Peticion	98,29200459	0,6	58,97520276	98,29200459	0,010426049	0,514507803
0,007368966	 Peticion	96,33428431	0,6	57,80057059	96,33428431	0,022831222	0,709884019
0,009503448	 Peticion	91,96982447	0,6	55,18189468	91,96982447	0,052387893	0,87403047
0,011637931	 Peticion	83,35523824	0,6	50,01314295	83,35523824	0,119810791	0,970082514
0,013772414	 Peticion	72,37327423	0,6	43,42396454	72,37327423	0,229035312	0,99675468
0,015906897	 Peticion	62,85348432	0,6	37,71209059	62,85348432	0,354601016	0,999803873
0,018041379	 Peticion	55,42764119	0,6	33,25658471	55,42764119	0,482492394	0,999991099
0,020175862	 Peticion	49,56415891	0,6	29,73849535	49,56415891	0,610552167	0,999999634
0,022310345	 Peticion	44,82225589	0,6	26,89335354	44,82225589	0,73862071	0,999999985
0,024444828	 Peticion	40,90844968	0,6	24,54506981	40,90844968	0,866689656	0,999999999
0,02657931	 Peticion	37,62324857	0,6	22,57394914	37,62324857	0,994758621	1
0,028713793	 Peticion	34,82646812	0,6	20,89588087	34,82646812	1,122827586	1
0,030848276	 Peticion	32,41672256	0,6	19,45003353	32,41672256	1,250896552	1
0,032982759	 Peticion	30,31887088	0,6	18,19132253	30,31887088	1,378965517	1
0,035117241	 Peticion	28,47604085	0,6	17,08562451	28,47604085	1,507034483	1
0,037251724	 Peticion	26,84439508	0,6	16,10663705	26,84439508	1,635103448	1
0,039386207	 Peticion	25,38959902	0,6	15,23375941	25,38959902	1,763172414	1
0,04152069	 Peticion	24,08437837	0,6	14,45062702	24,08437837	1,891241379	1
0,043655172	 Peticion	22,90679305	0,6	13,74407583	22,90679305	2,019310345	1
0,045789655	 Peticion	21,8389939	0,6	13,10339634	21,8389939	2,14737931	1
0,047924138	 Peticion	20,8663117	0,6	12,51978702	20,8663117	2,275448276	1
0,050058621	 Peticion	19,97657918	0,6	11,98594751	19,97657918	2,403517241	1
0,052193103	 Peticion	19,15961945	0,6	11,49577167	19,15961945	2,531586207	1
0,054327586	 Peticion	18,40685497	0,6	11,04411298	18,40685497	2,659655172	1
0,056462069	 Peticion	17,71100525	0,6	10,62660315	17,71100525	2,787724138	1
0,058596552	 Peticion	17,06585064	0,6	10,23951039	17,06585064	2,915793103	1
0,060731034	 Peticion	16,46604588	0,6	9,879627527	16,46604588	3,043862069	1
0,062865517	 Peticion	15,90697164	0,6	9,544182985	15,90697164	3,171931034	1
0,065	 Peticion	15,38461538	0,6	9,230769231	15,38461538	3,3	1
